vhu,source,destination,started_at,completed_at
357020141242968143,6-12-01-18-999-01,6-12-01-18-049-60,15.03.2021 15:14:06,15.03.2021 15:14:50
357020141243010261,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:14:15,15.03.2021 15:14:58
357020141243026804,6-13-20-02-021-01,SPE_11,15.03.2021 15:14:25,15.03.2021 15:14:33
357020141242919756,6-12-01-08-998-01,6-12-01-08-024-40,15.03.2021 15:14:36,15.03.2021 15:15:08
357020141243069719,6-13-20-02-023-01,SPE_29,15.03.2021 15:15:01,15.03.2021 15:15:13
357020141243048691,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:15:14,15.03.2021 15:15:16
357020141243069092,6-13-20-02-022-01,6-13-77-21-999-01,15.03.2021 15:15:15,15.03.2021 15:17:07
357020141242919718,6-12-01-08-998-01,6-12-01-08-028-50,15.03.2021 15:15:34,15.03.2021 15:16:10
357020141242995620,6-12-01-17-999-01,6-12-01-17-998-01,15.03.2021 15:15:43,15.03.2021 15:15:45
357020141240378210,6-12-01-19-999-01,LPE_13,15.03.2021 15:15:46,15.03.2021 15:15:49
357020141242995620,6-12-01-17-998-01,6-12-01-17-028-40,15.03.2021 15:15:48,15.03.2021 15:16:27
357020141241257842,6-12-01-19-999-01,LPE_13,15.03.2021 15:15:51,15.03.2021 15:15:53
357020141243029805,6-13-20-02-021-01,6-13-66-60-011-02,15.03.2021 15:15:51,15.03.2021 15:15:54
357020141243026804,SPE_11,6-13-66-60-011-01,15.03.2021 15:15:56,15.03.2021 15:16:00
357020141242996498,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:16:06,15.03.2021 15:16:08
357020141238832373,6-12-01-19-999-01,LPE_13,15.03.2021 15:16:08,15.03.2021 15:16:11
357020141240378241,6-12-01-19-999-01,LPE_13,15.03.2021 15:16:13,15.03.2021 15:16:16
357020141241465995,6-13-01-02-998-01,LPE_14,15.03.2021 15:16:15,15.03.2021 15:16:20
357020141243001016,6-13-03-03-906-01,6-13-80-90-017-01,15.03.2021 15:16:15,15.03.2021 15:16:16
357020141241933050,6-13-01-02-998-01,LPE_14,15.03.2021 15:16:23,15.03.2021 15:16:27
357020141237834798,6-13-01-02-998-01,6-13-03-80-021-01,15.03.2021 15:16:29,15.03.2021 15:19:09
357020141241465667,6-13-01-02-999-01,6-13-01-01-998-01,15.03.2021 15:16:38,15.03.2021 15:16:43
357020141243075260,6-13-03-01-999-01,6-13-01-12-999-01,15.03.2021 15:16:53,15.03.2021 15:20:02
357020141243060259,6-12-20-03-234-01,SPE_39,15.03.2021 15:17:06,15.03.2021 15:17:31
357020141243069719,SPE_29,6-13-77-23-999-01,15.03.2021 15:17:09,15.03.2021 15:17:11
357020141243058928,6-02-80-80-004-01,6-02-80-80-004-01,15.03.2021 15:17:13,15.03.2021 15:17:16
357020141243058966,6-02-80-80-004-01,6-02-80-80-004-01,15.03.2021 15:17:19,15.03.2021 15:17:22
357020141239082234,6-12-01-17-046-23,6-12-01-17-046-70,15.03.2021 15:17:25,15.03.2021 15:18:22
357020141242960215,6-12-01-06-998-01,6-12-01-06-042-22,15.03.2021 15:17:32,15.03.2021 15:18:11
357020141243037787,6-12-20-02-075-01,6-02-01-07-888-01,15.03.2021 15:17:32,15.03.2021 15:18:10
357020141243061928,6-12-20-03-234-01,6-12-33-03-999-01,15.03.2021 15:17:33,15.03.2021 15:18:22
357020141243054937,6-12-20-03-234-01,6-12-03-01-040-01,15.03.2021 15:17:39,15.03.2021 15:17:53
357020141243050120,6-12-20-03-232-01,6-12-20-03-231-01,15.03.2021 15:17:40,15.03.2021 15:17:43
357020141243053572,6-12-20-03-232-01,6-12-44-27-999-01,15.03.2021 15:17:45,15.03.2021 15:19:19
357020141238560719,6-02-01-05-025-30,6-02-01-05-999-01,15.03.2021 15:18:07,15.03.2021 15:18:55
357020141243018335,6-12-20-02-075-01,6-02-01-07-888-01,15.03.2021 15:18:12,15.03.2021 15:18:15
357020141243066763,6-12-80-90-045-01,6-12-80-90-045-01,15.03.2021 15:18:13,15.03.2021 15:18:21
357020141238832373,LPE_13,6-12-03-80-042-01,15.03.2021 15:18:20,15.03.2021 15:18:22
357020141243065735,6-12-80-90-045-01,6-12-80-90-045-01,15.03.2021 15:18:23,15.03.2021 15:18:24
357020141243060259,SPE_39,6-12-33-03-999-01,15.03.2021 15:18:23,15.03.2021 15:18:27
357020141240378241,LPE_13,6-12-03-80-042-01,15.03.2021 15:18:26,15.03.2021 15:18:43
357020141242959875,6-12-01-06-998-01,6-12-01-06-022-10,15.03.2021 15:18:32,15.03.2021 15:18:54
357020141243076168,6-12-03-02-998-01,6-13-01-05-998-01,15.03.2021 15:18:46,15.03.2021 15:20:24
357020141240378210,LPE_13,6-12-03-80-042-01,15.03.2021 15:18:46,15.03.2021 15:18:47
357020141241257842,LPE_13,6-12-03-80-042-01,15.03.2021 15:18:49,15.03.2021 15:18:52
357020141243063458,6-12-08-02-888-01,6-12-01-14-998-01,15.03.2021 15:19:00,15.03.2021 15:20:14
357020141243065964,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:19:17,15.03.2021 15:19:19
357020141243063595,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:19:20,15.03.2021 15:19:23
357020141243050120,6-12-20-03-231-01,6-12-44-27-999-01,15.03.2021 15:19:21,15.03.2021 15:19:24
357020141243060570,6-12-03-04-920-01,6-12-80-90-045-01,15.03.2021 15:19:23,15.03.2021 15:19:35
357020141238560467,6-02-01-05-027-30,6-02-01-05-999-01,15.03.2021 15:19:25,15.03.2021 15:19:52
357020141242957628,6-12-01-06-998-01,6-12-01-06-032-20,15.03.2021 15:19:26,15.03.2021 15:20:01
357020141243057037,6-13-20-02-021-01,6-13-77-17-999-01,15.03.2021 15:19:33,15.03.2021 15:21:18
357020141243057419,6-12-03-04-920-01,6-12-80-90-045-01,15.03.2021 15:19:37,15.03.2021 15:19:39
357020141239477801,6-13-01-01-049-50,6-13-01-01-999-01,15.03.2021 15:19:41,15.03.2021 15:20:16
357020141243068453,6-13-03-01-063-01,6-13-01-07-999-01,15.03.2021 15:19:45,15.03.2021 15:20:55
357020141243053374,6-13-03-02-071-01,6-13-01-20-999-01,15.03.2021 15:19:49,15.03.2021 15:22:22
357020141243075987,6-02-80-80-004-01,6-02-01-11-019-20,15.03.2021 15:19:51,15.03.2021 15:20:30
357020141243075246,6-13-03-01-999-01,6-13-01-12-999-01,15.03.2021 15:20:04,15.03.2021 15:20:08
357020141241933036,6-13-01-02-024-60,6-13-01-02-998-01,15.03.2021 15:20:08,15.03.2021 15:20:39
357020141243072795,6-02-03-02-924-01,6-02-80-90-007-01,15.03.2021 15:20:13,15.03.2021 15:20:13
357020141243076847,SPE_40,6-02-01-13-999-01,15.03.2021 15:20:17,15.03.2021 15:22:06
357020141243047366,6-12-08-01-888-01,6-12-01-34-998-01,15.03.2021 15:20:19,15.03.2021 15:20:25
357020141242957284,6-12-01-06-998-01,6-12-01-06-028-40,15.03.2021 15:20:19,15.03.2021 15:20:51
357020141243077011,6-12-03-02-999-01,6-13-01-12-998-01,15.03.2021 15:20:20,15.03.2021 15:22:07
357020141243070067,6-02-03-02-924-01,6-02-80-90-007-01,15.03.2021 15:20:25,15.03.2021 15:20:25
357020141243076311,6-12-03-02-998-01,6-13-01-05-998-01,15.03.2021 15:20:26,15.03.2021 15:20:30
357020141243076328,6-12-08-01-888-01,6-12-01-34-998-01,15.03.2021 15:20:26,15.03.2021 15:20:31
357020141243059123,6-12-20-03-233-01,6-12-20-03-233-01,15.03.2021 15:20:28,15.03.2021 15:20:35
357020141242947490,6-12-01-15-999-01,6-12-01-15-023-30,15.03.2021 15:20:31,15.03.2021 15:21:32
357020141243075970,6-02-80-80-004-01,6-02-01-11-055-40,15.03.2021 15:20:45,15.03.2021 15:21:34
357020141243051073,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:20:54,15.03.2021 15:20:56
357020141243034335,6-13-03-01-063-01,6-13-01-07-999-01,15.03.2021 15:20:57,15.03.2021 15:21:04
357020141243047533,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:20:58,15.03.2021 15:21:00
357020141243061133,6-12-20-03-232-01,6-12-44-28-999-01,15.03.2021 15:20:59,15.03.2021 15:23:11
357020141242993534,6-02-01-10-999-01,6-02-01-10-033-50,15.03.2021 15:21:09,15.03.2021 15:21:42
357020141243055309,6-13-20-02-021-01,6-13-77-17-999-01,15.03.2021 15:21:20,15.03.2021 15:21:24
357020141237856820,6-13-01-02-034-60,6-13-01-02-998-01,15.03.2021 15:21:22,15.03.2021 15:21:57
357020141242954108,6-12-01-06-999-01,6-12-01-06-031-60,15.03.2021 15:21:27,15.03.2021 15:22:09
357020141243071477,6-02-03-02-915-01,6-02-80-90-007-01,15.03.2021 15:21:32,15.03.2021 15:21:32
357020141243073976,6-02-03-02-915-01,6-02-80-90-007-01,15.03.2021 15:21:37,15.03.2021 15:21:37
357020141238723565,6-13-01-04-047-60,6-13-01-04-999-01,15.03.2021 15:21:40,15.03.2021 15:22:18
357020141242920585,6-12-01-15-999-01,6-12-01-15-019-50,15.03.2021 15:21:53,15.03.2021 15:23:25
357020141237437739,6-02-01-11-079-30,6-02-01-11-999-01,15.03.2021 15:21:59,15.03.2021 15:22:43
357020141240032501,6-12-01-10-998-01,LPE_13,15.03.2021 15:21:59,15.03.2021 15:22:01
357020141240601820,6-12-01-10-998-01,LPE_13,15.03.2021 15:22:04,15.03.2021 15:22:07
357020141243076816,6-02-03-05-999-01,6-02-01-13-999-01,15.03.2021 15:22:08,15.03.2021 15:22:12
357020141243076687,6-12-03-02-999-01,6-13-01-12-998-01,15.03.2021 15:22:09,15.03.2021 15:22:13
357020141239046618,6-12-01-10-999-01,LPE_13,15.03.2021 15:22:09,15.03.2021 15:22:12
357020141243076687,6-12-03-02-999-01,6-13-01-12-998-01,15.03.2021 15:22:09,15.03.2021 15:22:14
357020141239046663,6-12-01-10-999-01,LPE_13,15.03.2021 15:22:14,15.03.2021 15:22:17
357020141237412354,6-02-01-10-073-20,6-02-01-10-999-01,15.03.2021 15:22:17,15.03.2021 15:22:59
357020141243061904,6-12-08-02-888-01,SPE_24,15.03.2021 15:22:22,15.03.2021 15:25:39
357020141243070326,6-13-03-02-071-01,6-13-01-20-999-01,15.03.2021 15:22:24,15.03.2021 15:22:28
357020141242953767,6-12-01-06-999-01,6-12-01-06-057-60,15.03.2021 15:22:31,15.03.2021 15:23:31
357020141243059482,6-12-20-03-999-01,6-12-03-01-030-01,15.03.2021 15:22:37,15.03.2021 15:22:48
357020141243056849,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:22:44,15.03.2021 15:22:46
357020141243052650,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:22:48,15.03.2021 15:22:50
357020141243060761,6-12-20-02-075-01,SPE_41,15.03.2021 15:22:53,15.03.2021 15:23:13
357020141242999468,6-02-01-10-999-01,6-02-01-10-020-21,15.03.2021 15:23:07,15.03.2021 15:23:58
357020141243058928,6-02-80-80-004-01,6-02-01-11-069-20,15.03.2021 15:23:09,15.03.2021 15:24:09
357020141243075949,6-02-80-80-004-01,U_CZPETDOB,15.03.2021 15:23:12,15.03.2021 15:26:07
357020141243059123,6-12-20-03-233-01,6-12-44-28-999-01,15.03.2021 15:23:14,15.03.2021 15:23:17
357020141238729918,6-13-01-05-054-10,6-13-01-05-999-01,15.03.2021 15:23:19,15.03.2021 15:23:48
357020141240233052,6-12-01-18-031-30,6-12-01-18-999-01,15.03.2021 15:23:21,15.03.2021 15:23:49
357020141243069016,6-13-01-04-999-01,6-13-01-04-037-50,15.03.2021 15:23:25,15.03.2021 15:23:26
357020141243068200,6-12-03-02-087-01,6-13-01-12-998-01,15.03.2021 15:23:29,15.03.2021 15:25:04
357020141239442656,6-13-01-04-037-20,6-13-01-04-999-01,15.03.2021 15:23:41,15.03.2021 15:24:07
357020141243067951,6-13-20-02-024-01,6-13-66-60-003-02,15.03.2021 15:23:59,15.03.2021 15:25:06
357020141240032501,LPE_13,6-12-03-80-043-01,15.03.2021 15:24:00,15.03.2021 15:24:01
357020141243078490,6-12-03-02-997-01,6-13-01-02-998-01,15.03.2021 15:24:03,15.03.2021 15:25:31
357020141240601820,LPE_13,6-12-03-80-043-01,15.03.2021 15:24:03,15.03.2021 15:24:06
357020141242936760,6-12-01-06-999-01,6-12-01-06-053-22,15.03.2021 15:24:05,15.03.2021 15:24:55
357020141243072658,6-13-20-02-021-01,6-13-66-60-008-01,15.03.2021 15:24:06,15.03.2021 15:25:09
357020141243072535,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:24:15,15.03.2021 15:24:17
357020141243060983,6-12-20-02-075-01,6-02-01-17-999-01,15.03.2021 15:24:18,15.03.2021 15:24:20
357020141238449250,6-13-01-03-999-01,LPE_14,15.03.2021 15:24:19,15.03.2021 15:24:27
357020141243059994,6-12-03-04-910-01,6-12-80-90-047-01,15.03.2021 15:24:20,15.03.2021 15:24:23
357020141237424777,6-02-01-11-075-20,6-02-01-11-999-01,15.03.2021 15:24:20,15.03.2021 15:25:05
357020141243042866,6-12-20-02-075-01,6-02-01-17-999-01,15.03.2021 15:24:22,15.03.2021 15:24:24
357020141243060396,6-12-20-03-233-01,6-12-20-03-233-01,15.03.2021 15:24:23,15.03.2021 15:24:26
357020141242947315,6-02-01-10-999-01,6-02-01-10-030-40,15.03.2021 15:24:27,15.03.2021 15:24:51
357020141243062901,6-12-20-03-232-01,6-12-44-29-999-01,15.03.2021 15:24:28,15.03.2021 15:26:25
357020141238682831,6-13-01-05-055-40,6-13-01-05-999-01,15.03.2021 15:24:36,15.03.2021 15:25:01
357020141235415876,6-13-01-12-888-01,6-13-01-12-888-01,15.03.2021 15:24:39,15.03.2021 15:24:43
357020141243077059,6-02-20-01-011-01,6-02-20-01-011-01,15.03.2021 15:24:41,15.03.2021 15:24:45
357020141240432721,6-12-01-20-057-22,6-12-01-20-999-01,15.03.2021 15:24:42,15.03.2021 15:25:13
357020141243078940,6-13-03-01-998-01,6-13-03-01-998-01,15.03.2021 15:24:45,15.03.2021 15:24:50
357020141243078940,6-13-03-01-998-01,6-13-03-01-998-01,15.03.2021 15:24:45,15.03.2021 15:24:50
